ticker,estrategia,date,price,action,signal_compra,signal_venta,had_position,entry_price,stop_loss,take_profit,trailing,reason,regime,mode,RSI,MACD,MACD_SIGNAL,ADX,PLUS_DI,MINUS_DI,ATR,STOCH_K,STOCH_D,REL_VOL,EMA20,EMA50,EMA200
AAPL,trend_follower,2023-09-05,187.1685,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),uptrend,,62.4606,0.597,-1.1661,29.4662,32.3805,20.5858,3.0538,96.2002,95.8806,0.8597,180.9856,180.7806,167.7492
AAPL,trend_follower,2023-09-06,180.4691,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),downtrend,,48.9959,0.4572,-0.8414,27.7242,26.882,29.7588,3.4157,85.5503,92.683,1.532,180.9364,180.7684,167.8757
AAPL,trend_follower,2023-09-07,175.1906,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),downtrend,,41.4195,-0.0787,-0.6889,27.7155,22.2496,39.2148,3.832,63.4295,81.7267,2.0098,180.3892,180.5496,167.9485
AAPL,trend_follower,2023-09-08,175.8023,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),downtrend,,42.5286,-0.4489,-0.6409,27.1478,24.946,37.2382,3.7472,40.0221,63.0006,1.1599,179.9523,180.3634,168.0267
AAPL,trend_follower,2023-09-11,176.9665,hold,False,True,False,,,,,MACD bajo señal y precio bajo EMA20,downtrend,,44.6755,-0.6409,-0.6409,26.7034,23.535,35.9919,3.6881,31.5673,45.0063,1.0368,179.6679,180.2302,168.1156
AAPL,trend_follower,2023-09-12,173.9474,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),downtrend,,40.455,-1.0249,-0.7177,26.7434,21.2166,37.1213,3.7989,26.8045,32.7979,1.5267,179.1231,179.9838,168.1736
AAPL,trend_follower,2023-09-13,171.8852,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),downtrend,,37.8265,-1.4786,-0.8699,26.9258,19.8969,36.3861,3.7616,18.755,25.7089,1.3763,178.4338,179.6663,168.2106
AAPL,trend_follower,2023-09-14,173.3948,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),mix,,40.856,-1.6967,-1.0352,27.1665,18.9342,35.3935,3.6705,11.4152,18.9916,0.9834,177.9539,179.4203,168.2622
AAPL,trend_follower,2023-09-15,172.6746,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),mix,,39.8581,-1.9058,-1.2093,27.2505,18.7237,33.5351,3.5972,8.7997,12.99,1.705,177.4511,179.1558,168.3061
AAPL,trend_follower,2023-09-18,175.5951,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),mix,,45.6545,-1.8149,-1.3304,26.3736,22.7066,30.7041,3.6482,16.4233,12.2127,1.0446,177.2743,179.0161,168.3786
AAPL,trend_follower,2023-09-19,176.6804,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),mix,,47.6729,-1.6364,-1.3916,25.4801,22.0784,29.1862,3.5638,23.1752,16.1327,0.8015,177.2178,178.9245,168.4612
AAPL,trend_follower,2023-09-20,173.1482,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),mix,,42.1821,-1.7597,-1.4652,25.063,20.2262,30.113,3.6123,24.1484,21.249,0.8924,176.8302,178.698,168.5078
AAPL,trend_follower,2023-09-21,171.609,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),mix,,40.0191,-1.959,-1.564,25.0223,19.2399,31.7223,3.5262,15.957,21.0936,0.9567,176.3329,178.42,168.5387
AAPL,trend_follower,2023-09-22,172.4575,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,41.7911,-2.0251,-1.6562,24.701,19.5905,29.7081,3.4964,7.2789,15.7948,0.8583,175.9638,178.1862,168.5777
AAPL,trend_follower,2023-09-25,173.7303,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,44.4426,-1.9523,-1.7154,24.4025,18.4604,27.9945,3.4454,8.8553,10.6971,0.7014,175.7511,178.0114,168.6289
AAPL,trend_follower,2023-09-26,169.6653,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,38.4229,-2.1973,-1.8118,24.725,16.8225,30.509,3.5108,9.222,8.452,0.9659,175.1715,177.6841,168.6393
AAPL,trend_follower,2023-09-27,168.1556,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),downtrend,,36.4485,-2.4847,-1.9464,25.5651,15.4867,33.2808,3.5412,10.7764,9.6179,0.9905,174.5033,177.3105,168.6344
AAPL,trend_follower,2023-09-28,168.4122,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),downtrend,,37.0407,-2.661,-2.0893,26.6136,14.1493,33.2069,3.599,13.3168,11.105,0.836,173.9232,176.9615,168.6322
AAPL,trend_follower,2023-09-29,168.9253,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),mix,,38.2792,-2.7279,-2.217,27.1437,15.4528,31.3992,3.5344,21.7251,15.2727,0.7753,173.4472,176.6464,168.6352
AAPL,trend_follower,2023-10-02,171.4314,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),mix,,44.0669,-2.5493,-2.2835,27.1251,16.873,29.2803,3.5194,34.5512,23.1977,0.7761,173.2553,176.4419,168.663
AAPL,trend_follower,2023-10-03,170.0994,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),mix,,41.8221,-2.4866,-2.3241,27.1345,15.8702,27.7632,3.4745,39.6705,31.9822,0.7355,172.9547,176.1932,168.6773
AAPL,trend_follower,2023-10-04,171.3426,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),mix,,44.6558,-2.31,-2.3213,26.8867,16.0045,25.9281,3.4547,46.7715,40.3311,0.8035,172.8012,176.0029,168.7038
AAPL,trend_follower,2023-10-05,172.5759,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),downtrend,,47.3934,-2.0469,-2.2664,26.1178,17.6542,24.4408,3.4031,49.9725,45.4715,0.7728,172.7797,175.8685,168.7423
AAPL,trend_follower,2023-10-06,175.1215,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,52.6043,-1.6143,-2.136,24.42,21.0598,22.073,3.499,64.0177,53.5872,0.9181,173.0027,175.8392,168.8058
AAPL,trend_follower,2023-10-09,176.6015,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,55.3722,-1.139,-1.9366,22.8779,21.8208,20.6194,3.4782,78.7253,64.2385,0.6887,173.3455,175.8691,168.8834
AAPL,trend_follower,2023-10-10,176.0094,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,54.0133,-0.8008,-1.7094,21.6771,22.4169,19.8526,3.3545,88.2787,77.0072,0.7379,173.5992,175.8746,168.9543
