ticker
AAPL
MSFT
NVDA
META
AMZN
GOOGL
TSLA
JPM
DIS
NFLX
KO
PEP
XOM
CVX
BA
GM
INTC
AMD
UBER
SHOP
PINS
SNAP
PYPL
DDOG
PLTR
AFRM
UNIT
CLSK
